categories,text,stars
Restaurants,"Are you are really looking at the review for LJS?  Its fried stuff, with extra fried stuff in a cardboard boat.  You will regret eating it 30 minutes after you finish, but it is delicious.",3
Restaurants,"I agree with Paul on this one. But I had to stop here on my way home from work tonight. 
(I think I feel my heart yelling at me again) , The gal at the drive thru window was just soooo sweet , I just might go back and ask her to marry me! 
But then again , she gave me a slip with a survey on it to fill out online. 
Maybe she just wanted my positive response. Ok Sarah B. you got it ... now where's my free coke ?",3
Restaurants,"It's deep fried garbage....it's LOS c'mon what do you expect.....however I have never had better, friendlier service at a fast food restaurant.",5
Restaurants,"I love LJS and have to agree, service was decent here. I tried a piece of my kid's chicken (I only ever get the fish for myself) and was pleasantly surprised to find white breast meat (same chicken texture as chick fil a). A little grimy dining room, and the bathroom handle is broken 8/2015... It would be nice if they made it an A&W-LJS but as-is still works for me.",4
Restaurants,"I love LJS, but I  had to write a review regarding this particular location.  The inside is very dated and appears to be poorly cared for.  It smelled like burnt fish when we walked in the door.  It took about 15 mins for the food, so I figured it was gonna be all fresh...negative!  The fish was old and cold and fries were a very soft.  The corn lacked butter.

I didn't care for the onion rings and my boyfriend said the Coleslaw tasted spoiled.

The chicken planks and hushpuppies were the only things edible.  

Service wasn't too bad - nice people.  Too bad a whole bunch of flies started flying around the dining area and prep area, which ruined my appetite.",2
Restaurants,"This is a pretty decent Arby's, and given the condition of the other fast food restaurants on this stretch of Ohio River, it practically reaches exceptional.  The dining room is clean and nicely modern.  The service is friendly.  I don't think I've ever had a bad experience.",4
Restaurants,Everytime I eat at this location I end up with a sick stomach.  I don't have that problem at other Arby's.  The dining area is clean and everything else seems ok but I always get a sick stomach.  Maybe they should relook at their food prep.,2
Restaurants,"Arby's is definitely king of the fast food joints on the Blvd.  For that, I'd give it five stars.  However, it's still fast food, which explains the mediocre rating.  Do not go here without a coupon from the Sunday paper--there's a whole page of them at least once a month.  The staff here is very nice and very fast, and on the whole, the food is better than elsewhere by the river if you're stuck with a fast food choice.",3
Restaurants,"My beef was so raw that I had to put it in the microwave for two minutes. It was even slightly cold before I reheated it. The manager says they cook it medium rare, and I explained it was so rare it ate the lettuce off of the sandwich! 

Neither the brown sugar bacon and beef nor the BLT had much bacon. (How do I post pictures?) For a sandwich advertised to have delicious bacon, this fell WAY short. The little bit of bacon it did have was burnt. Really Arby's? I told the manager I have no idea how they thought sending out a sandwich like that was acceptable.

Overall, this made a horrible day worse. I was celebrating my two oldest girls' graduation from high school, and what was supposed to be a very nice dinner was a disaster. We went to Arby's as a back up so I had at least a little something to eat. That was equally disastrous. At least the fries were okay, albeit a little soft and mushy for some reason. 

Based on this experience, I would not go back. Based on this experience, I would most definitely not recommend this to others.",2
Restaurants,"Great pizza, and the calzones are huge. Relaxed atmosphere; try the jukebox if you want to hear an old hit. Once, they forgot a topping on our order. They not only fixed the mistake, but they threw in a two liter just for our trouble. Also great for takeout or grabbing a slice at lunch time.",4
Restaurants,"We were wanting to order take-out one night and looked through our folder of coupons to pick a place. After being ""pizza'd out,"" we decided to try Miaetta's due to their $20 deal (wings, hoagie, fries and a soda). 

The food was good. Nothing spectacular. The wings were sort of dainty, though I feel they compensated by giving us more than a dozen. The garlic parm sauce was also very light. They could have been a bit more generous. We ordered the Miaetta hoagie which was pretty much like a club. Once again, good but nothing to write home about. I could have made the same sandwich myself. Fries were standard. One thing to add - I found it strange that they only had four sodas to choose from: Pepsi, Mt. Dew, a generic juice and something else. 

Considering this place is extremely close to us, I would stop back to try other things on the menu. According to the other reviews on Yelp, their gourmet Italian food is what they're known for. Now we know what to order next time. My boyfriend said the scene on the inside was very old fashioned and homey, so I'd love to check them out again but perhaps dining in rather than take-out. I love nothing more than a good 'ole mom and pops kitchen!",3
Restaurants,Maietta catered our party and they provided wonderfully delicious food at a great price.  The food was delivered promptly and it was an amazing treat.  I would use them again in a heartbeat.,4
Restaurants,"if i wanted to blow up a spot, this pizza place is in very limited company with Sam's Sun Sandwiches also on Brownsville road.  Extremely tasty pizza dough, the sauce is flavorful and portioned perfectly, the cheese is browned and balanced just like it oughtta be.  I have not had other menu items, so consider this review by the pizza only.  Great prices also,  Be sure and eat your pizza fresh, don't call in the order for delivery, or pick it up late.  Got to eat it fresh on the spot to really appreciate how good this is",5
Restaurants,"Believe it or not, I was planning on doing a review of this Pittsburgh landmark before the big news that Warren Buffett's billions was buying Heinz. 

Dear Warren Buffett, don't mess with my ketchup!

FACT: Heinz Ketchup is used in 93% of restaurants, nation wide!

The HJ Heinz company was formed in 1869 when Henry John Heinz sold his mother's canned horseradish door to door. 

Today Heinz's headquarters are still here in Pittsburgh, although no products are made in Pittsburgh anymore. The plant at the base of Troy Hill near the Allegheny river was sold to Treehouse Foods where they make private label soups. I'll never forget going to the factory as a Cub Scout and how the vinegar smelled as we toured the factory. We each got a full size bottle of Ketchup to take home with us, and of course a Pickle Pin, one of the most iconic symbols associated with Heinz.

Again, Mr Buffett, don't mess with the red stuff or a whole gaggle of Terrible Towel waving Yinzers will open a can of whoop ass on ya!",5
Restaurants,Heinz ketchup and pickles are terrific.  It isn't worth trying to save a nickel with watery condiments.,5
Restaurants,"Heinz products are a staple of the US pantry - even though the famous tomato ketchup is loaded with corn syrup - kids love it all the same.  Heinz ""57"" sauce, Salad cream (UK), Mayo and beans are all good too.",4
Restaurants,"I feel like all Sarku's taste the same, chicken is good and overall everything is pretty unsalty. However, one of my broccoli's had black stuff on it, and I'm pretty sure it was dirty, not charred.

Hm... well it WAS $5.65 after tax for a huge plate.",3
Restaurants,"sick...and not in the way my college roommate use to say ""that's sick! "" (meaning cool, awesome, sweet, wicked (variation of any of the previous). No this was just gross. 

After driving across town to two different malls to find a particular dress in my size, I worked up quite the appetite. Hey it's Friday- I'll go for some Americanized Asian...so I ordered the general Tso's with a maki roll ( not sushi- this is what they call their spring rolls), and noodles.

My noodles were cold...like really cold. The portion was beyond stingy- normally with these kind of take-out restaurants I cannot finish my meal, but their were exactly 11 pieces of chicken 7 of which were teeny-tiny bits... The texture of both meat and noodles was very mushy and overall not so tasty. When I paid with debit the girl at the counter literally handed my receipt and said ""sign-this"" ...so much for service. I will say it was cheap and the spring roll was edible. 

I should have known better than to give into mall food cravings...not worth the calories. But hey on a positive note I did find my dress size at CP Mall!",1
Restaurants,"I don't understand the super low reviews on here, eat here quite often, it's delicious, and fresh, they cook to order.  For mall Asian-style food, you can't beat it!",4
Restaurants,"I too don't understand the low ratings for this place. As others have said you've got to keep your expectations in perspective when visiting a mall food court. For a quick and tasty fast food experience I really love Sarku Japan. They do cook the food fresh to order and I usually order their Teriyaki chicken special. Their teriyaki isn't too sweet which I like and it carmelizes on the chicken for a really great flavor. Because I'm a big guy who likes to eat I get the double meat, spring roll and drink combo. All this for just over $10. In my book and palate I think this is a pretty good deal.",4
Restaurants,"Not bad for a quick lunch....the teriyaki chicken meal is something you can't beat.  It's fresh and somewhat healthy.  The vegetables are my favorite.  And I definitely recommend fried rice over white rice.  They give you a lot of food,  could have shared it with my husband because we both did not finish.  So definitely worth the money!",3
